Id,CaseNumber,Ambito__c,Categoria__c,Dettaglio_richiesta__c,Misura__c,Subject,Description,Risoluzione__c,Commenti_Ente__c,Ulteriori_informazioni_a_supporto__c,url
500bU00000boOBoQAM,01248717,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,,1.4.4 Adozione ANPR ANSC,Al fine di completare la richiesta di erogazione del finanziamento la piattaforma non consente di scaricare e di caricare la documentazione.,Si resta in attesa di indicazioni al fine di completare la richiesta nei tempi previsti del 05/01/2026,"<p>[FAKE_PERSON], grazie per averci contattato.</p><p>Ti informiamo che la data citata si riferisce alla scadenza del completamento attività (già rispettata dall&#39;ente).</p><p>Ti confermiamo che la data citata si riferisce alla scadenza del completamento attività (già rispettata dall&#39;ente).</p><p>Affinché si possa completare correttamente la procedura di caricamento dell&#39;allegato firmato digitalmente, ti ricordiamo altresì che è necessario caricare firmato il documento originariamente generato, senza che esso subisca modifiche o salvataggi. Ad esempio, è necessario che non si salvi con nome e/o che non vengano effettuate operazioni di &quot;copia e incolla&quot; (in caso di modifiche intervenute nei dati dello step 5, occorre invece rigenerare nuovamente il documento da firmare). Tali azioni, infatti, determinerebbero una modifica della natura del file, rendendolo inaccettabile dalla piattaforma. </p><p>Ti suggeriamo quindi di eliminare il documento firmato che genera errore e, a partire dall&#39;allegato in PDF generato dalla piattaforma, ripetere la procedura seguendo le indicazioni fornite e in particolare:  </p><p>• non rinominare il file PDF (rimuovere precedentemente dalla cartella in cui si scarica il documento eventuali copie precedenti)  </p><p>• firmare digitalmente il file scaricato (senza modificare o scannerizzare) &quot;Allegato 5&quot; </p><p>• verificare che il file caricato sia in formato<strong> P7M (CADES)</strong> o PADES (.pdf) </p><p>• verificare che il file caricato corrisponda all’ultima versione scaricata; </p><p>• verificare che sia presente la firma digitale; </p><p>• verificare che la firma digitale sia quella del rappresentante legale. </p><p> </p><p>Ti invitiamo ad eseguire le operazioni descritte. Se la problematica dovesse persistere, ti preghiamo di non rimuovere il <strong>p7m </strong>dell&#39;allegato 5 - anche qualora ci sia un messaggio di errore - e di aprire una nuova richiesta di assistenza da area privata per segnalarci il malfunzionamento, allegando screenshot dell’errore. </p><p><span style=""font-size: 11pt; color: rgb(68, 68, 68);""> </span></p><p><strong>Ti informiamo infine, che è possibile scaricare il template CRE e ricaricarlo solo dopo aver caricato in piattaforma l&#39;allegato 5 debitamente firmato. </strong></p><p><br></p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000boOBoQAM/view
500bU00000boPJDQA2,01248718,,Altro - Servizi Aggiunti,,1.2 Abilitazione e facilitazione migrazione al Cloud,richiesta indicazioni cambio Amministrazione di appartenenza Dirigente [FAKE_PERSON],"Si chiede come procedere al cambio della [FAKE_INDIRIZZO] di appartenenza in seguito a trasferimento di sede e subentro all'amministratore uscente.
La sottoscritta [FAKE_PERSON] [FAKE_CODICE_FISCALE] dirigente scolastico dell'[FAKE_INDIRIZZO] di [FAKE_INDIRIZZO] dal 01 09 2025 risulta ancora associata come [FAKE_INDIRIZZO] all'[FAKE_INDIRIZZO] di [FAKE_PERSON]",<p>Ti confermiamo che da verifiche l&#39;utenza di  [FAKE_INDIRIZZO] è stata attivata per la [FAKE_INDIRIZZO] con il ruolo di Super Admin.</p>,,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000boPJDQA2/view
500bU00000boN4TQAU,01248719,,Altro - Servizi Aggiunti,,1.4.3 Adozione pagoPA,Atto ricognitivo,"Devo procedere con il caricamento di un atto ricognitivo ma il sistema non riconosce la firma digitale di un atto regolarmente firmato in formato cades.
Chiedo verifica regolare funzionamento piattaforma. Chiesto intanto proroga ma devo concludere procedura per successiva asseverazione.","<p><span style=""font-size: 14px;"">Al fine di permetterci le opportune verifiche e procedere ad eventuale rimozione del blocco imposto dalla piattaforma ti invitiamo cortesemente a caricare in piattaforma, allo step 4, il documento menzionato. Ti preghiamo di non rimuovere il documento firmato in P7m/Pades - anche qualora ci sia un messaggio di errore - e di aprire una nuova richiesta di assistenza da area privata per segnalarci il malfunzionamento, allegando screenshot dell’errore. </span></p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000boN4TQAU/view
500bU00000boZaDQAU,01248721,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,,1.4.4 Adozione ANPR ANSC,ERRORE FIRMA ALLEGATO 5,"[FAKE_INDIRIZZO], si scrive la seguente per fare presente che si riscontrano dei problemi nel caricamento dell'allegato 5 firmato. Nello specifico, la piattaforma segnala un errore per ""scadenza temporale o del certificato"", ma la firma è ancora in corso di validità fino a maggio 2027 e si è tentato di scaricare l'ultima versione del file all-5 più e più volte. Si rimane in attesa di riscontro per concludere l'ultima fase.
[FAKE_PERSON] saluti","Gentile utente, grazie per averci contattato. Ti informiamo che è stata recentemente risolta un’anomalia che non permetteva il corretto riconoscimento della validità della scadenza del certificato di firma digitale. Pertanto, ti chiediamo cortesemente di accedere in piattaforma e proseguire con la procedura guidata, ricaricando, solo se necessario, il file firmato digitalmente, e gli eventuali documenti richiesti nella sezione per completare l’istanza.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000boZaDQAU/view
500bU00000boNOeQAM,01248722,Amministrazione,Altro - Servizi Aggiunti,,1.4.4 Adozione ANPR ANSC,PROBLEMI CON LA FIRMA ALLEGATO 5,"Buongiorno e buon anno
devo procedere a richiedere il finanziamento del progetto 1.4.4 ANSC ma pur caricando RICHIESTA DI EROGAZIONE (Allegato 5) firmata correttamente mi dice che ci sono problemi con il certificato di firma che però risulta essere valido da ogni altro controllo fatto esternamente la piattaforma PA Digitale 2026.
cosa devo fare per poter andare avanti?
grazie mille","<p>Gentile Francesca, grazie per averci contattato.</p><p>Affinché si possa completare correttamente la procedura di caricamento dell&#39;allegato firmato digitalmente, ti ricordiamo altresì che è necessario caricare firmato il documento originariamente generato, senza che esso subisca modifiche o salvataggi. Ad esempio, è necessario che non si salvi con nome e/o che non vengano effettuate operazioni di &quot;copia e incolla&quot; (in caso di modifiche intervenute nei dati dello step 5, occorre invece rigenerare nuovamente il documento da firmare). Tali azioni, infatti, determinerebbero una modifica della natura del file, rendendolo inaccettabile dalla piattaforma. </p><p>Ti suggeriamo quindi di eliminare il documento firmato che genera errore e, a partire dall&#39;allegato in PDF generato dalla piattaforma, ripetere la procedura seguendo le indicazioni fornite e in particolare:  </p><p>• non rinominare il file PDF (rimuovere precedentemente dalla cartella in cui si scarica il documento eventuali copie precedenti)  </p><p>• firmare digitalmente il file scaricato (senza modificare o scannerizzare) &quot;Allegato 5&quot; </p><p>• verificare che il file caricato sia in formato<strong> P7M (CADES)</strong> o PADES (.pdf) </p><p>• verificare che il file caricato corrisponda all’ultima versione scaricata; </p><p>• verificare che sia presente la firma digitale; </p><p>• verificare che la firma digitale sia quella del rappresentante legale. </p><p> </p><p>Ti invitiamo ad eseguire le operazioni descritte. Se la problematica dovesse persistere, ti preghiamo di non rimuovere il <strong>p7m </strong>dell&#39;allegato 5 - anche qualora ci sia un messaggio di errore - e di aprire una nuova richiesta di assistenza da area privata per segnalarci il malfunzionamento, allegando screenshot dell’errore. </p><p><span style=""font-size: 11pt; color: rgb(68, 68, 68);""> </span></p><p><strong>Ti informiamo infine, che è possibile scaricare il template CRE e ricaricarlo solo dopo aver caricato in piattaforma l&#39;allegato 5 debitamente firmato. </strong></p><p><br></p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000boNOeQAM/view
500bU00000boOPvQAM,01248723,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,,1.4.4 Adozione ANPR ANSC,Firma digitale richiesta erogazione,"[FAKE_INDIRIZZO].
Non riesco a caricare la richiesta di erogazione del finanziamento perché la firma non sarebbe valida o certificato scaduto. Invece la firma è valida. Ho provato a cambiare modalità di firma ([FAKE_INDIRIZZO] e [FAKE_INDIRIZZO]) ma stesso risultato. Come procedo?
Grazie","<p>[FAKE_PERSON], grazie per averci contattato.</p><p>Affinché si possa completare correttamente la procedura di caricamento dell&#39;allegato firmato digitalmente, ti ricordiamo altresì che è necessario caricare firmato il documento originariamente generato, senza che esso subisca modifiche o salvataggi. Ad esempio, è necessario che non si salvi con nome e/o che non vengano effettuate operazioni di &quot;copia e incolla&quot; (in caso di modifiche intervenute nei dati dello step 5, occorre invece rigenerare nuovamente il documento da firmare). Tali azioni, infatti, determinerebbero una modifica della natura del file, rendendolo inaccettabile dalla piattaforma. </p><p>Ti suggeriamo quindi di eliminare il documento firmato che genera errore e, a partire dall&#39;allegato in PDF generato dalla piattaforma, ripetere la procedura seguendo le indicazioni fornite e in particolare:  </p><p>• non rinominare il file PDF (rimuovere precedentemente dalla cartella in cui si scarica il documento eventuali copie precedenti)  </p><p>• firmare digitalmente il file scaricato (senza modificare o scannerizzare) &quot;Allegato 5&quot; </p><p>• verificare che il file caricato sia in formato<strong> P7M (CADES)</strong> o PADES (.pdf) </p><p>• verificare che il file caricato corrisponda all’ultima versione scaricata; </p><p>• verificare che sia presente la firma digitale; </p><p>• verificare che la firma digitale sia quella del rappresentante legale. </p><p> </p><p>Ti invitiamo ad eseguire le operazioni descritte. Se la problematica dovesse persistere, ti preghiamo di non rimuovere il <strong>p7m </strong>dell&#39;allegato 5 - anche qualora ci sia un messaggio di errore - e di aprire una nuova richiesta di assistenza da area privata per segnalarci il malfunzionamento, allegando screenshot dell’errore. </p><p><span style=""font-size: 11pt; color: rgb(68, 68, 68);""> </span></p><p><strong>Ti informiamo infine, che è possibile scaricare il template CRE e ricaricarlo solo dopo aver caricato in piattaforma l&#39;allegato 5 debitamente firmato. </strong></p><p><br></p>","Avevo già provato le soluzioni proposte ma senza esito.
[FAKE_PERSON] messaggio di errore.
[FAKE_PERSON] saluti.","Gentile utente, ti informiamo che è stata recentemente risolta un’anomalia che non permetteva il corretto riconoscimento della validità della scadenza del certificato di firma digitale. Pertanto, ti chiediamo cortesemente di accedere in piattaforma e proseguire con la procedura guidata, ricaricando, solo se necessario, il file firmato digitalmente, e gli eventuali documenti richiesti nella sezione per completare l’istanza.",https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000boOPvQAM/view
500bU00000boSOkQAM,01248724,,Altro - Servizi Aggiunti,,2.2.3 Digitalizzazione delle procedure SUAP e SUE,Per la misura 2.3.2 non accetta la domanda firmata digitalmente,"[FAKE_PERSON] report della firma e schermata dell'errore.
Si aspettano disposizioni.
[FAKE_PERSON]","<p> Affinchè si possa completare correttamente la procedura di caricamento dell&#39; allegato firmato digitalmente, è necessario assicurarsi che, una volta creato e scaricato il documento da firmare, esso non subisca ulteriori salvataggi. Ad esempio è necessario che non si salvi con nome e/o che non vengano effettuate operazioni di &quot;copia e incolla&quot;.</p><p>Tali azioni, infatti, determinerebbero una modifica della natura del file, rendendolo inaccettabile dalla piattaforma.</p><p>Ti suggeriamo quindi di eliminare il documento firmato che genera errore e, a partire dall&#39;allegato in PDF generato dalla piattaforma, ripetere la procedura seguendo le indicazioni.</p><p>Per poter caricare correttamente il file è necessario:</p><p><span style=""font-family: -apple-system; font-size: 10.5pt;""> </span></p><p><span style=""font-family: -apple-system; font-size: 10.5pt;"">• </span>effettuare il download e non rinominare il file PDF &quot;Allegato 3 [FAKE_INDIRIZZO]; </p><p>In definitiva, prima di procedere alla firma il file deve chiamarsi: Allegato 3 Domanda</p><p><span style=""font-family: -apple-system; font-size: 10.5pt;"">•</span> firmare digitalmente il file scaricato (senza modificare o scannerizzare) &quot;Allegato 3 Domanda&quot;</p><p><span style=""font-family: -apple-system; font-size: 10.5pt;"">• </span>il file caricato sia in formato P7M (CADES) o [FAKE_INDIRIZZO]: -apple-system; font-size: 10.5pt;"">• </span>il file caricato corrisponda all’ultima versione scaricata;</p><p><span style=""font-family: -apple-system; font-size: 10.5pt;"">• </span>sia presente la firma digitale;</p><p><span style=""font-family: -apple-system; font-size: 10.5pt;"">• </span>la firma digitale sia quella del rappresentante legale.</p><p>Ti ringraziamo per la collaborazione, e ti ricordiamo che la generazione del documento pdf potrebbe non essere instantanea. Ti invitiamo a [FAKE_INDIRIZZO]>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000boSOkQAM/view
500bU00000bopsJQAQ,01248726,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,,1.4.4 Adozione ANPR ANSC,"Firma digitale modello ""Dichiarazione tracciabilità""","[FAKE_PERSON] giorno,
ho provato a richieder l'erogazione del finanziamento. Sono riuscito a inserire tutti i dati/documenti richiesti fino al ultimo punto ""5 richiesta finanziamento"".  Ho inserito anche per questo punto tutti i dati/documenti richiesti fino al modello ""Dichiarazione tracciabilità"". Ho scaricato il modello, il rappresentante legale [FAKE_PERSON] ha firmato il modello in formato p7m e ho provato a caricare il modello firmato. Però mi da sempre l'errore in allegato.
Però a me risulta che il modello è stato firmato digitalmente corretto. Ho fatto anche un controllo della firma digitale del rappresentante legale. Anche questa è valida (vedi allegato).
Ho provato a firmare il modello anche in modalità pdf. Anche se carico questo modello firmato mi esce lo stesso errore? Come procedo?

Distinti saluti
[FAKE_PERSON]
Ufficio tecnico","<p>[FAKE_PERSON], grazie per averci contattato.</p><p>La tua segnalazione è stata risolta e potrai ora procedere al caricamento del documento ed il completamento della fase di erogazione del progetto per la misura 1.4.4 ANPR ANSC.</p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000bopsJQAQ/view
500bU00000bouWtQAI,01248727,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,,1.4.1 Esperienza dei servizi pubblici,Buongiorno  non riusciamo ad allegare la richiesta di erogazione finanziamento Allegato 5 firmata da [FAKE_INDIRIZZO],"viene visualizzato l'errore certificato scaduto pur essendo lo stesso in corso di validità.
la prova è stata fatta sia in formato Cades che [FAKE_PERSON]
cordiali saluti
patrizio marchetto","Gentile utente, grazie per averci contattato. Ti informiamo che è stata recentemente risolta un’anomalia che non permetteva il corretto riconoscimento della validità della scadenza del certificato di firma digitale. Pertanto, ti chiediamo cortesemente di accedere in piattaforma e proseguire con la procedura guidata, ricaricando, solo se necessario, il file firmato digitalmente, e gli eventuali documenti richiesti nella sezione per completare l’istanza.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000bouWtQAI/view
500bU00000bogHLQAY,01248728,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,,1.4.4 Adozione identità digitale,[FAKE_INDIRIZZO] A CARICARE LA DOMANDA DI EROGAZIONE FINANZIAMENTO FIRMATA DIGITALMENTE,"[FAKE_INDIRIZZO], in merito a quanto in oggetto sono a richiedere assistenza perchè nel momento in cui scarico il documento di erogazione del finanziamento e appongo la firma digitale, quando lo carico sul sistema di dice: ATTENZIONE LA FIRMA SUL DOCUMENTO NON E' VALIDA PER SCADENZA TEMPORALE O CERTIFICATO SCADUTO. MODIFICALA E CARICA L'ULTIMA VERSIONE DEL DOCUMENTO.
Rappresento che ho seguito tutti i passaggi necessari e che la mia firma digitale non è assolutamente scaduta.","<p>[FAKE_PERSON], grazie per averci contattato. Al fine di poterti offrire l&#39;adeguato supporto, ti invitiamo a caricare nuovamente l&#39;allegato 5 firmato. Quindi ti invitiamo ad aprire nuovamente una richiesta di assistenza lasciando caricato in piattaforma il documento firmato, anche se genera un errore. </p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000bogHLQAY/view
