_,Id,CaseNumber,Ambito__c,Categoria__c,Dettaglio_richiesta__c,Misura__c,Subject,Description,Risoluzione__c,Commenti_Ente__c,Ulteriori_informazioni_a_supporto__c,url
[Case],5007Q00000P8BBaQAN,01132280,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Contrattualizzazione fornitori,1.4.1 Esperienza dei servizi pubblici,[FAKE_PERSON] ordine di servizio per incarico a collaboratore interno nella creazione Web page,Buonasera! Intendo incaricare un mio insegnante di creare la Web page della scuola con i fondi PNRR 1.4.1. Mi avete già informato che questo è possibile e che è necessario dare un ordine di servizio. la mia domanda è se avete un prestampato di come deve essere fatto questo ordine di servizio. Grazie e cordiali saluti [FAKE_PERSON],"[FAKE_PERSON], grazie per averci contattato.
Ti informiamo che gli ordini di servizio da predisporre non devono rispettare una modulistica precisa; possono essere prodotti in autonomia.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000P8BBaQAN/view
[Case],5007Q00000P8BHnQAN,01132282,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Rendicontazione e documenti giustificativi,,REGIS,"Buon pomeriggio. La  [FAKE_INDIRIZZO] ha trasmesso ai Comuni un sollecito della [FAKE_INDIRIZZO] riguardante il popolamento di ReGis, da parte dei soggetti attuatori, necessario all'erogazione delle risorse a valere sul PNRR. Per i finanziamenti richiesti su PADigitale 2026 non è previsto tale adempimento, è corretto?",,,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000P8BHnQAN/view
[Case],5007Q00000P8BK1QAN,01132288,Implementazione e sviluppo progetto,Altro - Servizi Aggiunti,Strategia di Migrazione,1.1 Migrazione al PSN - PAC,Modifica del Piano di Migrazione,"Si chiede di poter ri-generare e riproporre il Piano di Migrazione, allo scopo di modificare - almeno per i servizi che sceglieremo in risposta all'Avviso 1.1 - la modalità a suo tempo prescelta di migrazione (da ""B - aggiornamento... "" ad ""A - trasferimento...""), a causa di considerazioni legate alla valutazione di tempi e costi nelle due diverse modalità. Grazie, cordiali saluti, [FAKE_PERSON][FAKE_EMAIL]","[FAKE_PERSON], grazie per averci contattato. 
Ti informiamo che per apportare delle modifiche ai servizi da migrare in candidatura è necessario modificare prima il piano di migrazione.

A tal fine ti invitiamo ad inviare una comunicazione a mezzo PEC al seguente indirizzo [FAKE_EMAIL] per richiedere lo sbiancamento del piano, la tipologia di modifica e le relative motivazioni. Riceverai, successivamente, un riscontro con le indicazioni per i successivi adempimenti.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000P8BK1QAN/view
[Case],5007Q00000P8BWCQA3,01132295,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Rendicontazione e documenti giustificativi,,Avviso Investimento 1.2 “Abilitazione al cloud per le [FAKE_INDIRIZZO],"[FAKE_INDIRIZZO], volevo sapere, se un comune per l'avviso in oggetto ha ricevuto un finanziamento di 100 può acquisire progetti per 100-x o è obbligatorio acquisire progetti pari a 100? Grazie",,,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000P8BWCQA3/view
[Case],5007Q00000P8BqEQAV,01132285,Implementazione e sviluppo progetto,Altro - Servizi Aggiunti,Strategia di Migrazione,1.1 Migrazione al PSN - PAC,Richiesta riapertura piano di migrazione ai sensi del regolamento AgID,Si richiede la riapertura del piano di migrazione ai sensi del regolamento AgID a seguito di variazione della classificazione dei servizi di questa Amministrazione.,"[FAKE_PERSON], grazie per averci contattato.
Ti informiamo che non è possibile apportare modifiche al Piano di Migrazione inviato. Nel caso tu voglia effettuare delle variazioni è quindi necessario inserire un nuovo Piano di Migrazione dopo aver &[FAKE_PERSON]; quello inviato in verifica. Ti invitiamo pertanto ad inviare una comunicazione a mezzo PEC al seguente indirizzo: [FAKE_EMAIL] in cui dovrai richiedere: lo sbiancamento del piano, la tipologia di modifica che intendi effettuare e le relative motivazioni. Riceverai, successivamente, un riscontro con le indicazioni per i successivi adempimenti.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000P8BqEQAV/view
[Case],5007Q00000P8C4fQAF,01132289,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Candidatura,1.1 Migrazione al PSN - PAC,Richiesta di sbiancamento,Si chiede lo sbiancamento del Piano di Migrazione esistente al fine di poter sottomettere correttamente la domanda di adesione al bando con i servizi in modalità trasferimento,"[FAKE_PERSON], grazie per averci contattato. 
Ti invitiamo ad inviare una comunicazione a mezzo PEC al seguente indirizzo [FAKE_EMAIL] per richiedere lo sbiancamento del piano, la tipologia di modifica e le relative motivazioni. Riceverai, successivamente, un riscontro con le indicazioni per i successivi adempimenti.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000P8C4fQAF/view
[Case],5007Q00000P8CBcQAN,01132291,Implementazione e sviluppo progetto,Altro - Servizi Aggiunti,Strategia di Migrazione,1.2 Abilitazione e facilitazione migrazione al Cloud,Richiesta di integrazione del Piano di Migrazionedei dati e servizi informatici e digitali da parte di [FAKE_INDIRIZZO],[FAKE_INDIRIZZO] 2 MARCA TREVIGIANA,"Gentile [FAKE_PERSON], grazie per averci contattato. 
Ti informiamo che per apportare delle modifiche ai servizi da migrare in candidatura è necessario modificare prima il piano di migrazione.

A tal fine ti invitiamo ad inviare una comunicazione a mezzo PEC al seguente indirizzo [FAKE_EMAIL] per richiedere lo sbiancamento del piano, la tipologia di modifica e le relative motivazioni. Riceverai, successivamente, un riscontro con le indicazioni per i successivi adempimenti.","Inviata PEC in data odierna.
Grazie!","Gentile [FAKE_PERSON], grazie per averci contattato. Ti invitiamo ad attendere comunicazioni in merito alla tua richiesta.",https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000P8CBcQAN/view
[Case],5007Q00000P8CNXQA3,01132293,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Variazioni e rinunce,1.4.1 Esperienza dei servizi pubblici,errore in sede di compilazione della domanda,"In sede di compilazione della domanda i servizi di cui ai punti 1 e 2 sono stati indicati come avvaiti dopo il 1° febbraio 2020 con risorse proprie, invece sono entrambi ""da avviare""","[FAKE_PERSON], grazie per averci contattato. Ti informiamo che è presente una nuova funzionalità in piattaforma per apportare tale modifica. Ti invitiamo pertanto ad accedere alla sezione &quot;I tuoi progetti&quot;, cliccare sul progetto di tuo interesse e nella sezione “Ulteriori documenti allegati” caricare un documento che indichi la caratteristica attuativa corretta, sottoscritto dal Rappresentante Legale dell&#39;Ente.
Ti ricordiamo che la validità della documentazione potrà essere accertata esclusivamente in fase di asseverazione formale e controlli a campione.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000P8CNXQA3/view
[Case],5007Q00000P8DBTQA3,01132296,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Candidatura,1.4.5 Digitalizzazione degli avvisi pubblici,"MISURA 1.4.5 ""Piattaforma notifiche digitali Comuni""","MISURA 1.4.5 ""Piattaforma notifiche digitali Comuni"" - In riferimento alla MISURA MISURA 1.4.5 ""Piattaforma notifiche digitali Comuni"", si chiede risposta al seguente interrogativo. LO SCRIVENTE COMUNE DI SESTINO [FAKE_INDIRIZZO] HA [FAKE_INDIRIZZO] SERVIZIO DI POLIZIA MUNICIPALE PROPRIO, IN QUANTO INSERITO IN UNA GESTIONE ASSOCIATA CON L'UNIONE MONTANA DEI COMUNI DELLA VALTIBERINA TOSCANA. IN [FAKE_INDIRIZZO], [FAKE_INDIRIZZO] DI SESTINO SVOLGE PERO' [FAKE_INDIRIZZO] IL SERVIZIO DI NOTIFICAZIONE DEGLI ATTI, CON UN PROPRIO MESSO NOTIFICATORE.  IN QUESTA SITUAZIONE, IL COMUNE DI SESTINO PUO' [FAKE_INDIRIZZO] PROCEDERE  [FAKE_INDIRIZZO] PROGETTUALITA' [FAKE_INDIRIZZO], OPPURE NO ??? SI FA PRESENTE CHE L'ISTANZA DI RIFERIMENTO E' STATA DA NOI GIA' PRODOTTA E GIA' FINANZIATA, MA ORA E' SORTO QUESTO INTERROGATIVO CHE [FAKE_INDIRIZZO] HA BLOCCATO NELLA PROSECUZIONE DELL'ITER PROGETTUALE. [FAKE_INDIRIZZO] DISTURBO E RINGRAZIO ANTICIPATAMENTE PER VS. CORTESE RISPOSTA - REGI FABIO - [FAKE_PHONE] - [FAKE_PHONE].","[FAKE_PERSON], grazie per averci contattato. Ti confermiamo che al fine di accedere al finanziamento è necessario che il mittente dell&#39;atto coincida con il soggetto attuatore, ovvero, il singolo comune.
Il comune Soggetto attuatore può inserire servizi tra quelli oggetto dell&#39;avviso qualora mantenga la titolarità del servizio e dei dati. Nel caso in cui tale condizione sia rispettata dal Soggetto Attuatore, è possibile accedere al finanziamento previsto dall&#39;Avviso, riferito alla Misura 1.4.5","MISURA 1.4.5 ""Piattaforma notifiche digitali Comuni"" - In riferimento alla MISURA MISURA 1.4.5 ""Piattaforma notifiche digitali Comuni"", si chiede risposta al seguente interrogativo.

PURTROPPO LA NOSTRA RICHIESTA PRESENTA ANCORA DELLE INCERTEZZE, [FAKE_INDIRIZZO] E' VERO CHE LO SCRIVENTE COMUNE DI SESTINO [FAKE_INDIRIZZO] HA [FAKE_INDIRIZZO] SERVIZIO DI POLIZIA MUNICIPALE PROPRIO, OSSIA DIRETTAMENTE IN SEDE, IN QUANTO INSERITO IN UNA GESTIONE ASSOCIATA CON L'UNIONE MONTANA DEI COMUNI DELLA VALTIBERINA TOSCANA, E' PERO' ALTRETTANTO VERO CHE IL COMUNE DI SESTINO  SVOLGE  AUTONOMAMENTE IL SERVIZIO DI NOTIFICAZIONE DEGLI ATTI, CON UN PROPRIO MESSO NOTIFICATORE.  DUNQUE..... PER FARE LE NOTIFICHE, IL COMUNE DI SESTINO NON SI AVVALE DELLE FORZE DI POLIZIA MUNICIPALE [FAKE_PERSON], MA AGISCE IN PROPRIO........... ANCHE PERCHE' I VIGILI DELL'UNIONE SONO [FAKE_INDIRIZZO] DAL NOSTRO COMUNE CIRCA 70 KM...... E CHIARAMENTE NON SAREBBE POSSIBILE UTILIZZARLI ..... SEMPRE CHE DISPONIBILI, PER EFFETTUARE NOTIFICHE NEL NOSTRO TERRITORIO COMUNALE.

STANTE LA PRESENTE [FAKE_INDIRIZZO], SIAMO DUNQUE NUOVAMENTE A RICHIEDERE [FAKE_INDIRIZZO] E REGOLARE L'ATTIVAZIONE DELLA PROGETTUALITA' [FAKE_INDIRIZZO], OPPURE NO ??? SI FA PRESENTE CHE L'ISTANZA DI RIFERIMENTO E' STATA DA NOI GIA' PRODOTTA E GIA' FINANZIATA.  MI SCUSO ANCORA PER IL DISTURBO, MA PRIMA DI RINUNCIARE AD UN PROGETTO CHE ERA NOSTRA INTENZIONE PORTARE AVANTI, DOBBIAMO CHIARIRE MATERIALMENTE LA NOSTRA POSIZIONE, SIA PER NON REALIZZARE UN ITER SENZA AVERNE I REQUISITI .......... MA SOPRATTUTTO PER NON RINUNCIARE ERRONEAMENTE AD UNA PROGETTUALITA' CHE INVECE SAREBBE NOSTRA INTENZIONE EFFETTIVAMENTE E [FAKE_INDIRIZZO] GESTIRE. RINGRAZIO ANTICIPATAMENTE PER VS. CORTESE RISPOSTA - REGI FABIO - [FAKE_PHONE] - [FAKE_PHONE].","In riferimento allo scenario da te descritto, ti confermiamo l&#39;ammissibilità dell&#39;intervento, in quanto, come da te riferito attraverso la richiesta di supporto, il [FAKE_INDIRIZZO] è correttamente il mittente dell&#39;atto.",https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000P8DBTQA3/view
[Case],5007Q00000P8IUXQA3,01132299,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,Registrazione utenze,Nessuno,Variazione tipologia di utente a Incaricato,"[FAKE_INDIRIZZO],","[FAKE_PERSON], grazie per averci contattato. Da verifiche effettuate, la tua utenza risulta attiva in piattaforma con il profilo di persona che opera per conto del legale rappresentante. Relativamente al subentro, per disabilitare un Rappresentante Legale è necessario che un nuovo utente richieda il subentro. Nel momento in cui un nuovo rappresentante legale ([FAKE_PERSON]) accede alla piattaforma per conto di una [FAKE_INDIRIZZO] che ha già un utente attivo in quel ruolo, il sistema invia una PEC all’amministrazione per confermare la nuova utenza e, contestualmente, disabilitare la precedente.
In particolare, per attuare una procedura di subentro:
- L&#39;utente subentrante procede ad accedere alla piattaforma con il suo Spid e inserisce i dati della [FAKE_INDIRIZZO] in cui vuole subentrare
- La piattaforma segnalerà che la [FAKE_INDIRIZZO] è già attiva e chiederà se si vuole procedere ad un subentro. In tal caso, la piattaforma invierà una PEC di &quot;Conferma subentro&quot; [FAKE_INDIRIZZO] PEC indicato per l&#39;ente  per confermare la nuova utenza e, contestualmente, disabilitare la precedente.
- L&#39;utente subentrante confermerà il subentro tramite un click sull&#39;apposito tasto presente nella PEC di conferma subentro, sarà rimandato alla home page, dove procederà a fare l&#39;accesso con le proprie credenziali, al fine di confermare definitivamente il subentro.

A questo punto il [FAKE_PERSON], dopo aver selezionato la [FAKE_INDIRIZZO] per la quale intende operare, accede, attraverso il menù a tendina che si apre facendo click sul suo nome, alla sezione &quot;Gli utenti della tua PA&quot;. In questa sezione visualizza la lista degli utenti collegati alla propria amministrazione e potrà modificare, revocare o invitare gli utenti, attribuendoti il ruolo di &quot;incaricato&quot;, ruolo che può agire su più amministrazioni.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000P8IUXQA3/view
