_,Id,CaseNumber,Ambito__c,Categoria__c,Dettaglio_richiesta__c,Misura__c,Subject,Description,Risoluzione__c,Commenti_Ente__c,Ulteriori_informazioni_a_supporto__c,url
[Case],5007Q00000KqfalQAB,01091367,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Contrattualizzazione fornitori,Nessuno,Documenti da allegare e n° documenti consentiti,"[FAKE_INDIRIZZO], in fase di contrattualizzazione del fornitore (o di più di uno) , nelle FAQ sezione PROGETTI alla domanda 15 c'è scritto come risposta che basta caricare la determina o il contratto. la domanda è: basta quindi solo uno dei due? seconda domanda: quanti file è possibile caricare in questa fase? Se ad esempio uno volesse caricare un unico file pdf unito contenente determina + contratto, lo può fare? Per favore rispondete a tutte le domande. Grazie","[FAKE_PERSON], grazie per averci contattato.
Ti confermiamo che è sufficiente caricare, attraverso lo Step 3 (Caricamento Contratti) della sezione &quot;Progetti&quot;, la determina di affidamento.
In ogni caso, ti confermiamo che è possibile caricare in Piattaforma un unico file PDF, contente contratto e determina.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000KqfalQAB/view
[Case],5007Q00000KqfbAQAR,01091368,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Contrattualizzazione fornitori,1.4.3 Adozione PagoPA e AppIO,Richiesta informazioni per eventuale slittamento contrattualizzazione fornitore,"[FAKE_INDIRIZZO], nel momento in cui uno richiede un primo slittamento (dei due a disposizione) di 30 giorni, questo entro quanto tempo verrà concesso? Gli ulteriori 30 giorni verranno aggiunti a partire dall'attuale data di scadenza di contrattualizzazione del fornitore o da quando ne verrà fatta richiesta? Rispondete a tutte le domande per cortesia, grazie.","[FAKE_PERSON], grazie per averci contattato.
Ti informiamo che, nonostante sia necessario completare le attività nei tempi previsti dall&#39;avviso, è prevista la possibilità per l&#39;ente di posticipare la data di scadenza dell&#39;attività prevista dal cronoprogramma. Infatti, se l&#39;ente è impossibilitato a rispettare la scadenza indicata nel cronoprogramma, può richiedere di posticipare la scadenza tramite l&#39;apposito pulsante. Se lo slittamento richiesto è superiore ai 30 giorni, è necessario inserire la motivazione legata al posticipo della scadenza. Se, invece, lo slittamento è inferiore ai 30 giorni, la richiesta viene accettata automaticamente dal sistema. Ogni ente può richiedere di posticipare la scadenza soltanto due volte nel corso di tutto il ciclo di vita del progetto.
Ti confermiamo, quindi, che è possibile posticipare la scadenza del termine per la contrattualizzazione del fornitore e per il completamento delle attività.
Inoltre, in caso di posticipo della scadenza della contrattualizzazione del fornitore, il termine per il completamento delle attività sarà coerente con la nuova data di scadenza.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000KqfbAQAR/view
[Case],5007Q00000Kqfd6QAB,01091369,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Contrattualizzazione fornitori,1.2 Abilitazione e facilitazione migrazione al Cloud,contrattualizzazione di un fornitore/società in house,"[FAKE_INDIRIZZO], quale documento è necessario caricare e/o vi aspettate nella fase di CONTRATTUALIZZAZIONE DEL FORNITORE quando si fa fare un lavoro (ad esempio per appIO e per pagopa) ad una società in house invece che ha un fornitore propriamente esterno all'amministrazione?","[FAKE_PERSON], grazie per averci contattato.
Ti informiamo che è possibile caricare in piattaforma, in formato PDF, un contratto o similari, come una determina o un ordine di servizio.
Ti confermiamo che è possibile caricare, attraverso lo Step 3 (Caricamento Contratti) della sezione &quot;Progetti&quot;, la determina di affidamento.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000Kqfd6QAB/view
[Case],5007Q00000KqfePQAR,01091370,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Controlli,Nessuno,periodo minimo di mantenimento dei servizi attivi,"nella prima faq sezione progetti, alla prima domanda c'è scritto che il periodo minimo per ogni servizio è di 5 anni? cosa si intende nello specifico? [FAKE_INDIRIZZO] degli esempi: si intende che un determinato servizio di incasso che inseriamo nuovo su pagopa deve essere presente per almeno 5 anni? così come un servizio di messaggistica su app IO? Oppure si intende la permanenza ad esempio, in ambito cloud, su uno IAAS o su un SAAS tra l'altro con lo stesso fornitore per almeno 5 anni?","[FAKE_PERSON], grazie per averci contattato.
Ti confermiamo che è necessario mantenere i servizi attivi per almeno 5 anni. Tale adempimento non concerne il rapporto con uno o più fornitori ma solo il mantenimento dei servizi finanziati dagli [FAKE_INDIRIZZO] al quale fai riferimento.
Inoltre, ti ricordiamo che sono consentiti eventuali sviluppi migliorativi del progetto iniziale a patto che si riesca a ricostruire quanto è stato fatto attraverso apposita documentazione tecnica e amministrativa.","andiamo sullo specifico:
- pagopa: abbiamo indicato di inserire 24 nuovi servizi di incasso. Significa che questi 24 servizi devono restare in piedi per almeno 5 anni? e se chi attualmente ha la piattaforma mettiamo il caso la dismette tra 4 anni? che succederebbe?
- cloud: nel nostro caso abbiamo la maggior parte dei servizi in SaaS e un 10% in IaaS; ciò significa che devo tenermi quelle infrastrutture scelte per 5 anni?
- appIO: abbiamo definito 50 messaggi da inserire. Ciò significa che questi 50 messaggi devono avere una vita di almeno 5 anni?
- esperienza cittadino: sito web + 5 servizi digitalizzati. stessa cosa di cui sopra?

...ma se dopo 3 o 4 anni ad esempio il fornitore con cui ho affidato adesso, non c'è più o per altre questioni di opportunità ci rendiamo conto che è meglio ristrutturare, quanto fatto adesso, con altri fornitori ...come entra in gioco questo vincolo dei 5 anni?

Grazie","L&#39;adempimento relativo al mantenimento dei servizi attivi, si riferisce esclusivamente alle attività oggetto di finanziamento, pertanto ti confermiamo che in tutti gli esempi da te proposti (riferiti alle Misure 1.4.3 PagoPA e AppIO, 1.2 e 1.4.1) i servizi dovranno essere attivi per almeno 5 anni.
Tuttavia è consentito apportare, anche con diversi fornitori, sviluppi migliorativi del progetto iniziale a patto che si riesca a ricostruire quanto è stato fatto attraverso apposita documentazione tecnica e amministrativa.",https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000KqfePQAR/view
[Case],5007Q00000KqgzOQAR,01091373,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Contrattualizzazione fornitori,1.4.3 Adozione PagoPA e AppIO,soggetto realizzatore,"[FAKE_INDIRIZZO], nell'implementare il canale di pagamento PagoPA in mio Ente ha utilizzato come nodo dei pagamenti una società partecipata della [FAKE_INDIRIZZO]. I tipi di pagamenti previsti dal bando sono stati tutti già implementati. Basta indicare tale società tra i fornitori del progetto per concludere la procedura? C'è un iter particolare da seguire? Grazie","Gentile [FAKE_PERSON], grazie per averci contattato.
Attraverso la sezione &quot;PROGETTI&quot;, nello Step . 1 - &quot;SOGGETTI REALIZZATORI&quot;, è possibile assegnare il ruolo di partner/intermediario tecnologico a uno o più fornitori esterni tramite il tasto “AGGIUNGI SOGGETTO REALIZZATORE”.
Attraverso lo Step 2 sarà possibile assegnare le attività implementate attraverso l&#39;ausilio del fornitore e nello Step 3 (Caricamento Contratti), potrai caricare il contratto o la determina di affidamento.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000KqgzOQAR/view
[Case],5007Q00000Kqh01QAB,01091374,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Candidatura,1.4.3 Adozione PagoPA e AppIO,verifica correttezza domanda finanziata,"[FAKE_INDIRIZZO],  al fine di verificare la correttezza di quanto inserito nella domanda avviso 1.4.3 [FAKE_INDIRIZZO], si chiede di avere informazioni circa il significato di ""Attività avviata dopo il 31 marzo 2021 con risorse proprie ""  e ""attività da avviare"". si chiede in particolare, se per ""attività avviata dopo il 31.03.2021"" si intenda l'avvenuto versamento di denaro sul relativo codice tassonomico   dopo il 31.12.2021 e prima della data di inserimento della domanda","[FAKE_INDIRIZZO], grazie per averci contattato.
L&#39;avvio delle attività, per i servizi d&#39;incasso PagoPA coincide con una transazione con esito positivo con la corretta applicazione del codice tassonomico per ogni singolo servizio incluso nel progetto.
Per transazione con esito positivo si intende sia una transazione reale eseguita da un cittadino, nel caso in cui la stagionalità del singolo servizio di incasso lo consenta, oppure - in caso contrario - una transazione reale con importo di valore simbolico (es. 0,01€) ma con codice tassonomico e IUV reale, al fine di poter verificare l’effettiva e corretta integrazione del servizio di incasso in modalità end-to-end (cd. transazione di test).",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000Kqh01QAB/view
[Case],5007Q00000KqhPxQAJ,01091395,Implementazione e sviluppo progetto,Altro - Servizi Aggiunti,Documentazione tecnica di avvio e chiusura interventi,1.4.1 Esperienza dei servizi pubblici,Richiesta informazione,"Gentilissimi , richiedo informazioni in merito al codice gestionale di contabilità pubblica da inserire per la richiesta di finanziamento. Ringraziando per l'attenzione, porgo cordiali saluti. [FAKE_PERSON]","Gentile Luca, grazie per averci contattato. In generale
ai fini della corretta imputazione dei codici gestionali di spesa si comunica di consultare l&#39;apposita &quot;&quot;&quot;&quot;Codificazione Gestionale dei pagamenti delle amministrazioni [FAKE_INDIRIZZO]; emanata con circolare del MEF n.5 del 2 febbraio 2009 pubblicata in GURI n.45 del 24 febbraio 2009
https://www.gazzettaufficiale.it/eli/id/2009/02/24/09A01715/sg&quot; Ad ogni modo Occorre scegliere il codice più opportuno in relazione all’Avviso di riferimento tra quelli disponibili nel menù a tendina:
Cod. 036 “Consulenza Informatica”
Cod. 039 “Altre Consulenze”
Cod. 205 “Altri fondi da ripartire”
Cod. 277 “Manutenzione straordinaria di software”",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000KqhPxQAJ/view
[Case],5007Q00000KqhiuQAB,01091402,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Variazioni e rinunce,1.4.3 Adozione PagoPA e AppIO,Misura 1.4.3 PagoPA - Cambio di stato servizio,"Con la presente si richiede la variazione dello [FAKE_INDIRIZZO] di attività da ""Avviare"" a ""Attività avviata dopo il 31 marzo 2021 con risorse proprie"" dei seguenti servizi, relativi alla Misura 1.4.3 PagoPA:","Gentile Utente, grazie per averci contattato.  Se è stato commesso un errore esclusivamente relativo all’indicazione della caratteristica attuativa di uno o più servizi (da avviare e non già avviato o viceversa), ti informiamo che puoi aprire una nuova richiesta di supporto da area privata, allegando un PDF contenente la rettifica del caso, ovvero segnalandoci la caratteristica attuativa corretta, sottoscritto dal Rappresentante Legale dell&#39;Ente.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000KqhiuQAB/view
[Case],5007Q00000KqiF6QAJ,01091408,Implementazione e sviluppo progetto,Altro - Servizi Aggiunti,Documentazione tecnica di avvio e chiusura interventi,1.2 Abilitazione e facilitazione migrazione al Cloud,INSERIMENTO CONFORMITA DNSH,"CON IL FORNITORE HO CERCATO DI COMPILARE LA CHECK LIST DNSH (secondo il fornitore è possibile compilarla prima della contrattualizzazione, mi dice di averlo fatto per altri clienti) ma non ho trovato alcuna schermata (e nemmeno il fornitore)","[FAKE_PERSON], grazie per averci contattato.
La Checklist DNSH è presente nella fase di aggiunta soggetti realizzatori. In seguito, in fase di richiesta di erogazione del finanziamento è possibile aggiornare e, dunque, apportare modifiche al DNSH della misura 1.2, l&#39;unica non impattata dall&#39;indicazione di DNSH non applicabile.","Buongiorno, non ricordo di aver visto la check list nel momento in cui ho inserito il soggetto: è possibile che non ci fosse ma sopratutto posso recuperare ora senza attendere il momento della rendicontazione?
Posso eliminare il soggetto realizzatore che ho inserito, re-inserirlo e compilare la check list (considerato che ho solo 30 gg per la contrattualizzazione?)","Ti informiamo che è possibile modificare l&#39;anagrafica del Soggetto Realizzatore, attraverso lo Step 1 (&quot;Soggetti Realizzatori&quot;) della sezione Progetti.
All&#39;interno dell&#39;anagrafica del Soggetto Realizzatore è possibile apportare modifiche alle schede DNSH.",https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000KqiF6QAJ/view
[Case],5007Q00000KqiFzQAJ,01091409,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Contrattualizzazione fornitori,1.2 Abilitazione e facilitazione migrazione al Cloud,Anomalia in fase di contrattualizzazione,"[FAKE_INDIRIZZO], pur se opportunamente selezionati i servizi erogati dal fornitore, la piattaforma non mi consente di proseguire. Allogo errore-","Gentile [FAKE_PERSON], grazie per averci contattato.
Ti informiamo che, per proseguire con la fase di contrattualizzazione, è necessario caricare il contratto sia per il soggetto erogatore che per il CLoud Service Provider.
Se il soggetto erogatore è anche Cloud Service Provider, è necessario inserire lo stesso contratto inserito per il soggetto erogatore anche per il Cloud Service provider. Se diversi, è necessario inserire un contratto per il soggetto erogatore e uno per il Cloud Service Provider.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000KqiFzQAJ/view
