category,num_questions
Migrazione Dati e Asseverazione,10
Misure e Candidature,9
Dettagli degli Avvisi e Indirizzi Internet,8
Cambio di Destinazione dei Servizi,7
Asseverazione e Misure PNRR,7
Informazioni su Piattaforme e Servizi Digitali,7
Contatti e Ruoli Organizzativi,7
PNRR Domande Generali,7
Domande Generiche e Informazioni Varie,7
Migrazione e Conformità Documentale,7
Descrizione e Differenze tra Misure e Servizi,7
Misura 1.2 Scuole e Comuni,7
FAQ sulla Migrazione,6
Misura 1.2 Dettagli e Obblighi,6
Supporto per Asseveratori,6
Documentazione e Asseverazione,6
Servizi e Migrazioni,6
Identità e Informazioni Su Personaggi,6
PADigitale2026,5
Presentazione delle Domande,5
Asseverazione Tecnica,5
PA Digitale 2026,5
Questionario e Documentazione,5
Migrazione e PSN,5
Checklist e Strumenti,5
Servizio Applicativo Contributi Eventi Eccezionali,5
Modifiche e Gestione dei Servizi,5
Bandi e Scadenze,5
Informazioni su Lump Sum e Avvisi,5
FAQ e informazioni sulla migrazione,5
Modulistica e procedure di conformità,5
Richieste Generiche e Specifiche,5
FAQ Migrazione,5
Dichiarazione DNSH,5
Descrizione di Iniziative Digitali,4
Descrizione e Obiettivi del PNRR,4
Aree di Intervento del PNRR,4
Processo di Digitalizzazione,4
Procedure di Asseverazione,4
Dichiarazione Sostitutiva,4
Informazioni Sugli Avvisi,4
Avvisi e Finanziamenti PNRR,4
Amministrazione e Strutture Organizzative,4
Documentazione e Rendicontazione,4
Controlli e Normative,4
Costi e Dettagli Tecnici,4
Strumenti e Terminologia PNRR,4
Misure e Missioni PNRR,4
Job Description,4
Varie,4
Informazioni su PA Digitale 2026,4
Scadenze e Validità dei Report,4
Asseverazione del Fornitore,4
Sistemi Cloud e Servizi,4
Target capacità migratorie e missioni,4
Job descriptions per assistenti tecnici,4
Domande su FAQs,4
Asseverazione e Documentazione per Progetti Scolastici,4
Validazione e Conformità,4
Dettagli Tecnici e Normativi,4
Procedure e Proroghe,4
Documentazione e Requisiti Legali,4
Asseverazione,4
Misure Specifiche del PNRR,3
Requisiti e Documentazione per l'Accesso ai Fondi,3
Piattaforma PA Digitale 2026,3
Questione REGIS,3
Linee Guida e Riferimenti Normativi,3
Procedure di Finanziamento e Migrazione,3
