category,num_questions
Candidabilità dei Servizi,9
Documentazione e Allegati,6
Migrazioni e Cloud,6
Misure e servizi PNRR,5
Asseverazione e Verifiche Misura 1.2 e 1.4.1,4
Documentazione e modulistica,4
Servizi digitali e notifiche,4
Creazione Job Description,4
Procedure e Formati di Firma,3
Scuole e formazione,3
Migrazione al Cloud e Scenari,2
Procedure di Finanziamento e Pagamenti,2
Creazione job positions,2
Asseverazione e Servizi Specifici,2
Accesso agli Atti e Consulenza,2
Accesso agli atti e trasparenza,1
Processo di asseverazione,1
Ricerca risorse e webinar,1
