_,Id,CaseNumber,Ambito__c,Categoria__c,Dettaglio_richiesta__c,Misura__c,Subject,Description,Risoluzione__c,Commenti_Ente__c,Ulteriori_informazioni_a_supporto__c
[Case],5007Q00000ZGMkMQAX,01152910,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Variazioni e rinunce,1.2 Abilitazione e facilitazione migrazione al Cloud,impossibilità upload decreto di rinuncia,"abbiamo provveduto ad effettuare la rinuncia al finanziamento per poter poi ripresentare nuova candidatura.
Pur avendo regolarmente firmato digitalmente il file pdf generato dalla piattaforma, lo stesso non risulta acquisito (probabilmente a causa del fatto che la firma SIDI modifica il nome del file)
restiamo in attesa di Vs. riscontro
cordiali saluti","<p>Gentile Giovanna, grazie per averci contattato.</p><p>Ti informiamo che, per la risoluzione della problematica, dovrai aprire una nuova richiesta di assistenza menzionando la misura e indicando testualmente la motivazione della rinuncia tra quelle proposte precedentemente dalla piattaforma e che riportiamo di seguito:</p><ul><li>Errata composizione del pacchetto</li><li>Dati della PA errati</li><li>PA non più interessata al finanziamento</li><li>Altro (aggiungere anche dettaglio motivazione max 255 caratteri)</li></ul><p><br></p>",,
[Case],5007Q00000ZGMmTQAX,01152916,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,Malfunzionamento della Piattaforma,1.4.1 Esperienza dei servizi pubblici,file firmato non riconosciuto,"Buongiorno, 

ci è impossibile proseguire con la richiesta di finanziamento in quanto la piattaforma non riconosce il file firmato in P7m correttamente. Si allega screenshot dell'errore. Si precisa che il file è stato firmato in P7M, che non è stato rinominato, aperto o modificato in alcun modo, e dopo essere stato caricato non è stato riconosciuto.
Si resta in attesa di un Vs gentile riscontro.
Saluti","<p>Gentile Brunella, grazie per averci contattato. La tua segnalazione inerente il problema riscontrato durante il caricamento del documento firmato digitalmente è stata risolta. Ti invitiamo pertanto a riprovare caricando nuovamente il documento firmato. </p><p><span style=""color: black;"">Ti ricordiamo che è necessario allegare il certificato di regolare esecuzione del RUP firmato digitalmente in formato p7m caricandolo nell&#39;apposita sezione &quot;Documenti RUP e altri allegati&quot;.</span></p>",,
[Case],5007Q00000ZGMmiQAH,01152913,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Variazioni e rinunce,1.2 Abilitazione e facilitazione migrazione al Cloud,VARIAZIONE STATO DELLA MIGRAZIONE SERVIZIO DA MIGRARE,"In candidatura è stato indicato il servizio: PIATTAFORMA DIDATTICA DIGITALE INTEGRATA come ""Attività avviata dopo il 1° febbraio 2020 con risorse proprie"" e non come ""ATTIVITA' DA AVVIARE"". E' possibile modificare lo stato di migrazione?","<p><span style="""">Gentile Flavia, grazie per averci contattato.</span></p><p><span style="""">Ti invitiamo ad accedere alla sezione &quot;I tuoi progetti&quot;, cliccare sul progetto di tuo interesse e nella sezione “Ulteriori documenti allegati” caricare un documento che indichi la caratteristica attuativa corretta, sottoscritto dal Rappresentante Legale dell&#39;Ente.</span></p><p><span style="""">Ti ricordiamo che discriminante per la caratteristica attuativa (&quot;da avviare&quot; oppure &quot;già avviato&quot;) è la data di sottomissione della candidatura e che la validità della documentazione potrà essere accertata esclusivamente in fase di asseverazione formale e controlli a campione.</span></p><p><br></p>",,
[Case],5007Q00000ZGMmmQAH,01152911,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,Firma digitale della domanda di finanziamento,1.4.3 Adozione pagoPA,Messaggio di errore per il caricamento a la domanda di erogazione del finanziamento firmata digitalmente P7M(CAdES).,"Buongiorno,
con la presente si segnala l’impossibilita di caricare il file allegato 5, domanda di erogazione del finanziamento per la misura 1.4.3.
Nello specifico dopo aver apposto la firma digitale in formato cades come da istruzioni, all’atto del caricamento in piattaforma dello stesso viene restituito il seguente messaggio di errore “Attenzione, la firma sul documento non è valida per scadenza temporale o certificato scaduto. Modificala e carica l'ultima versione del documento” di cui si allega lo screenshot.  
Si sottolinea che il programma Gosign attesta la validità dei certificati di firma della domada di erogazione del finanziamento di cui allega il file p7m.
La presente riveste carattere di urgenza, in quanto il Comune di Ceriale deve procedere alla richiesta di finanziamento della misura 1.4.3 pagopa, che ha una scadenza prevista sulla piattaforma per il giorno 21/11/2023.
Resto in attesa di un cortese riscontro.
Cordiali saluti","<p>Gentile Alfonso, grazie per averci contattato. </p><p>La tua segnalazione inerente il problema riscontrato durante il caricamento del documento firmato digitalmente è stata risolta. Ti invitiamo pertanto a riprovare caricando nuovamente il documento firmato.</p>",,
[Case],5007Q00000ZGMmrQAH,01152912,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Candidatura,1.2 Abilitazione e facilitazione migrazione al Cloud,"Dissociazione dall'IC ""Ippolito Nievo"" di Bellagio","Spett.le amministrazione chiedo che l'associazione della mia utenza all'IC ""Ippolito Nievo"" di Bellagio venga rimossa poiché a partire dal corrente a.s. non ricopro più il ruolo di Dirigente scolastico presso l'istituzione in oggetto.
Cordialmente,
Prof. Vittorio Ruberto","<p><span style=""font-size: 14px;"">Gentile Vittorio, grazie per averci contattato.</span></p><p><span style=""font-size: 14px;"">Ti informiamo che al fine di essere dissociato dal l&quot;precedente &quot; istituto di titolarità è necessario che il nuovo dirigente effettui una procedura di subentro.</span></p><p><br></p>",,
[Case],5007Q00000ZGMnVQAX,01152914,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,Upload di documenti,1.2 Abilitazione e facilitazione migrazione al Cloud,Errore ne caricamento documento firmato,"Buongiorno,
nel caricare il documento di richiesta erogazione del finanziamento debitamente firmato dal DS, compare il seguente errore (come da screenshot allegato): ""attenzione, la firma sul documento non è valida per scadenza temporale o certificato scaduto."" Tuttavia il certificato di firma digitale della DS è valido ed attivo fino al 2026, pertanto si chiede come poter agire per superare tale problematica.","<p>Gentile Stefania, grazie per averci contattato. Affinchè si possa completare correttamente la procedura di caricamento dell&#39; allegato firmato digitalmente, è necessario assicurarsi che, una volta creato e scaricato il documento da firmare, esso non subisca ulteriori salvataggi. Ad esempio è necessario che non si salvi con nome e/o che non vengano effettuate operazioni di &quot;copia e incolla&quot;.</p><p>Tali azioni, infatti, determinerebbero una modifica della natura del file, rendendolo inaccettabile dalla piattaforma.</p><p>Ti suggeriamo quindi di eliminare il documento firmato che genera errore e, a partire dall&#39;allegato in PDF generato dalla piattaforma, ripetere la procedura seguendo le indicazioni.</p>","Purtroppo, pur seguendo le indicazioni, il problema persiste identico a quanto descritto in precedenza.","<p>Gentile Stefania, grazie per averci contattato. La tua segnalazione inerente il problema riscontrato durante il caricamento del documento firmato digitalmente è stata risolta. Ti invitiamo pertanto a riprovare caricando nuovamente il documento firmato.</p>"
[Case],5007Q00000ZGMnzQAH,01152915,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Variazioni e rinunce,1.2 Abilitazione e facilitazione migrazione al Cloud,non mi fa allegare il doc firmato digitalmente di rinuncia,"sto provando a rinunciare al progetto caricando la stessa con firma digitale e compare sempre questo messaggio: Attenzione, la firma sul documento non è valida per scadenza temporale o certificato scaduto. Modificala e carica l'ultima versione del documento. La firma funziona, solo oggi ho firmato decine di doc. Ho allegato il doc in tutti i formati di firma digitale.","<p>Gentile Pasqualino Antonio, grazie per averci contattato. Affinchè si possa completare correttamente la procedura di caricamento dell&#39; allegato firmato digitalmente, è necessario assicurarsi che, una volta creato e scaricato il documento da firmare, esso non subisca ulteriori salvataggi. Ad esempio è necessario che non si salvi con nome e/o che non vengano effettuate operazioni di &quot;copia e incolla&quot;.</p><p>Tali azioni, infatti, determinerebbero una modifica della natura del file, rendendolo inaccettabile dalla piattaforma.</p><p>Ti suggeriamo quindi di eliminare il documento firmato che genera errore e, a partire dall&#39;allegato in PDF generato dalla piattaforma, ripetere la procedura seguendo le indicazioni.</p><p> </p><p>Per poter caricare correttamente il file è necessario: </p><p>• non rinominare il file PDF </p><p>• firmare digitalmente il file scaricato (senza modificare o scannerizzare) &quot;Rinuncia al finanziamento&quot; ( non aggiungere &quot;FIRMATO_ &quot; nel nome del file )</p><p>• il file caricato sia in formato P7M (CADES) sia in formato PADES</p><p>• il file caricato corrisponda all’ultima versione scaricata; </p><p>• sia presente la firma digitale; </p><p>• la firma digitale sia quella del rappresentante legale. </p><p>Ti ringraziamo per la collaborazione, e ti ricordiamo che la generazione del documento pdf potrebbe non essere instantanea.</p>",,
[Case],5007Q00000ZGMplQAH,01152917,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,Malfunzionamento della Piattaforma,1.2 Abilitazione e facilitazione migrazione al Cloud,caricamento allegato 5,"si è proceduto a caricare il documento, allegato 5 firmato,  in piattaforma seguendo le indicazioni riportate, ma non lo carica correttamente (dice che il documento di firma è scaduto) in realtà non è così. Si prega di sbloccare la situazione in quanto non è possibile chiudere il progetto.
In attesa si porgo disitnti saluti
il dsga Lucia Magnano","<p>Gentile Lucia, grazie per averci contattato. Affinchè si possa completare correttamente la procedura di caricamento dell&#39; allegato firmato digitalmente, è necessario assicurarsi che, una volta creato e scaricato il documento da firmare, esso non subisca ulteriori salvataggi. Ad esempio è necessario che non si salvi con nome e/o che non vengano effettuate operazioni di &quot;copia e incolla&quot;.</p><p>Tali azioni, infatti, determinerebbero una modifica della natura del file, rendendolo inaccettabile dalla piattaforma.</p><p>Ti suggeriamo quindi di eliminare il documento firmato che genera errore e, a partire dall&#39;allegato in PDF generato dalla piattaforma, ripetere la procedura seguendo le indicazioni.</p><p>Per poter caricare correttamente il file è necessario:</p><p>• non rinominare il file PDF (rimuovere precedentemente dalla cartella in cui si scarica il documento eventuali copie precedenti)</p><p>• firmare digitalmente il file scaricato (senza modificare o scannerizzare) &quot;Allegato 5&quot;</p><p>• il file caricato sia in formato P7M (CADES) o PADES (.pdf)</p><p>• il file caricato corrisponda all’ultima versione scaricata;</p><p>• sia presente la firma digitale;</p><p>• la firma digitale sia quella del rappresentante legale.</p><p>Ti ringraziamo per la collaborazione, e ti ricordiamo che la generazione del documento pdf potrebbe non essere instantanea. Ti invitiamo a riprovare.</p>","Avevamo già fatto tutto secondo la procedura, per questo abbiamo scritto.
Anche se fatto tutto regolarmente il file non va a buon fine.",<p>Come da conversazione telefonica ti informiamo la tua segnalazione inerente il problema riscontrato durante il caricamento del documento firmato digitalmente è stata risolta pertanto ti invitiamo pertanto a riprovare caricando nuovamente il documento firmato.</p>
[Case],5007Q00000ZGMpqQAH,01152918,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Variazioni e rinunce,1.2 Abilitazione e facilitazione migrazione al Cloud,non registra la rinuncia al progetto,"Buongiorno,
in data 7 novembre abbiamo provveduto a compilare il modulo di rinuncia al progetto e successivamente al caricamento del relativo file. Oggi ci è stato segnalato che la rinuncia non risulta ancora effettiva e questo accade anche cliccano nuovamente sul pulsante di rinuncia. Chiedo indicazioni su come procedere per rendere effettiva tale rinuncia entro la scadenza.
Grazie","<p><span style="""">Gentile Elisa, grazie per averci contattato. Da verifiche effettuate risulta che la procedura di rinuncia effettuata il 7 novembre 2023 non sia andata a buon fine, infatti l&#39;ente non ha ricevuto messaggio di conferma del corretto caricamento della domanda.</span></p><p><span style="""">Preso atto dell’impossibilità di sottomettere la richiesta di rinuncia firmata digitalmente ti preghiamo, al fine di risolvere il blocco riscontrato, di aprire una nuova richiesta di assistenza menzionando la misura e indicando testualmente la motivazione della rinuncia tra quelle proposte precedentemente dalla piattaforma e che riportiamo di seguito:</span></p><ul><li><span style="""">Errata composizione del pacchetto</span></li><li><span style="""">Dati della PA errati</span></li><li><span style="""">PA non più interessata al finanziamento</span></li><li><span style="""">Altro (aggiungere anche dettaglio motivazione max 255 caratteri)</span></li></ul><p><br></p>",,
[Case],5007Q00000ZGMq5QAH,01152919,Implementazione e sviluppo progetto,Altro - Servizi Aggiunti,Documentazione tecnica di avvio e chiusura interventi,1.4.4 Adozione identità digitale,seguito richiesta 00128421,"Buongiorno, a seguito del comlpetamento dell'attività, abbiamo inviato l'attestato di partecipazione al corso. Nel caso non fosse pervenuto, lo invio nuovamente tramite questo ticket, sperando nella risoluzione del problema. Nel frattempo sono in attesa di assistenza da parte della software house che ha inviato la certificazione per avere chiarimenti e supporto. Ringrazio e resto a disposizione. Giulia Girotto","<p>Gentile Oreste, grazie per averci contattato.</p><p>All&#39;interno dello step 4 &quot;Completamento attività&quot;, della sezione &quot;Progetti&quot;, se non si clicca sull&#39;apposito campo &quot;Integrazione con OpenID Connect&quot;, è possibile inserire le informazioni relative all&#39;erogazione del piano formativo, all&#39;interno degli appositi campi.</p>",,
